Nr.;Themengebiet;Frage;Option A;Option B;Option C;Option D;Richtig;Vollst„ndige Antwort;Schwierigkeit
135;Infektiologie;Welches Medikament sollte bei (vermuteter) EBV-Mononukleose vermieden werden, weil es ein Exanthem ausl”st?;Keine Angabe;Aminopenicilline (z. B. Ampicillin/Amoxicillin).;Keine Angabe;Keine Angabe;B;Aminopenicilline (z. B. Ampicillin/Amoxicillin).;schwer
136;Infektiologie;Welche serologischen Marker sprechen fr eine frische EBV-Infektion?;Keine Angabe;Positives VCA-IgM (und VCA-IgG) bei (noch) negativem EBNA-IgG.;Keine Angabe;Keine Angabe;B;Positives VCA-IgM (und VCA-IgG) bei (noch) negativem EBNA-IgG.;schwer
137;Infektiologie;Welcher Erreger verursacht Scharlach und welches Antibiotikum ist Mittel der Wahl?;"Streptococcus pyogenes (Gruppe-A-Streptokokken); Mittel der Wahl ist Penicillin V.";Keine Angabe;Keine Angabe;Keine Angabe;A;"Streptococcus pyogenes (Gruppe-A-Streptokokken); Mittel der Wahl ist Penicillin V.";mittel
138;Infektiologie;Nennen Sie typische klinische Zeichen des Scharlachs.;Keine Angabe;Keine Angabe;Keine Angabe;Fieber, Tonsillopharyngitis, kleinfleckiges Exanthem mit periorale Bl„sse, Erdbeer-/Himbeerzunge und sp„tere Schuppung.;D;Fieber, Tonsillopharyngitis, kleinfleckiges Exanthem mit periorale Bl„sse, Erdbeer-/Himbeerzunge und sp„tere Schuppung.;mittel
139;Infektiologie;Welche gefrchteten Folgeerkrankungen k”nnen nach einer Streptokokken-Angina/Scharlach auftreten?;Keine Angabe;Keine Angabe;Akutes rheumatisches Fieber und die Poststreptokokken-Glomerulonephritis.;Keine Angabe;C;Akutes rheumatisches Fieber und die Poststreptokokken-Glomerulonephritis.;mittel
140;Infektiologie;Welcher Erreger verursacht die Lyme-Borreliose und welches Hautzeichen ist im Frhstadium typisch?;Keine Angabe;"Borrelia burgdorferi (bertragen durch Zecken); typisch ist das Erythema migrans (Wanderr”te).";Keine Angabe;Keine Angabe;B;"Borrelia burgdorferi (bertragen durch Zecken); typisch ist das Erythema migrans (Wanderr”te).";mittel
141;Infektiologie;Welches Antibiotikum wird bei Lyme-Borreliose im Kindesalter typischerweise eingesetzt?;Keine Angabe;Amoxicillin (bei jngeren Kindern) bzw. Doxycyclin (ab 9 Jahren), je nach Stadium auch Ceftriaxon.;Keine Angabe;Keine Angabe;B;Amoxicillin (bei jngeren Kindern) bzw. Doxycyclin (ab 9 Jahren), je nach Stadium auch Ceftriaxon.;mittel
142;Infektiologie;Welcher Erreger verursacht die Tuberkulose und mit welcher Standard-Kombinationstherapie wird behandelt?;Keine Angabe;Keine Angabe;Keine Angabe;"Mycobacterium tuberculosis; Standardtherapie mit Isoniazid, Rifampicin, Pyrazinamid und Ethambutol.";D;"Mycobacterium tuberculosis; Standardtherapie mit Isoniazid, Rifampicin, Pyrazinamid und Ethambutol.";schwer
143;Infektiologie;Welcher Test wird zur immunologischen Tuberkulose-Diagnostik eingesetzt (neben dem Tuberkulin-Hauttest)?;Keine Angabe;Keine Angabe;Der Interferon-Gamma-Release-Assay (IGRA).;Keine Angabe;C;Der Interferon-Gamma-Release-Assay (IGRA).;schwer
144;Infektiologie;Welches Virostatikum ist Mittel der Wahl bei schwerer Varizellen- oder Herpes-simplex-Infektion?;Keine Angabe;Keine Angabe;Aciclovir.;Keine Angabe;C;Aciclovir.;leicht
145;Infektiologie;Wie wird die HIV-Infektion bei Kindern berwiegend erworben und wodurch l„sst sich die vertikale Transmission deutlich senken?;"šberwiegend vertikal (Mutter-Kind); durch antiretrovirale Therapie der Mutter, Sectio bei hoher Viruslast und Verzicht auf Stillen l„sst sich die šbertragung stark reduzieren.";Keine Angabe;Keine Angabe;Keine Angabe;A;"šberwiegend vertikal (Mutter-Kind); durch antiretrovirale Therapie der Mutter, Sectio bei hoher Viruslast und Verzicht auf Stillen l„sst sich die šbertragung stark reduzieren.";schwer
146;Infektiologie;Welche Impfungen sind als Lebendimpfstoffe bei Immunsuppression bzw. in der Schwangerschaft kontraindiziert?;Keine Angabe;MMR und Varizellen (Lebendimpfstoffe).;Keine Angabe;Keine Angabe;B;MMR und Varizellen (Lebendimpfstoffe).;mittel
147;Infektiologie;In welchem Alter werden laut STIKO die beiden MMR-Impfungen im S„uglings-/Kleinkindalter empfohlen?;Keine Angabe;Keine Angabe;Keine Angabe;Die erste MMR-Impfung im Alter von 11?14 Monaten, die zweite mit 15?23 Monaten.;D;Die erste MMR-Impfung im Alter von 11?14 Monaten, die zweite mit 15?23 Monaten.;schwer
148;Infektiologie;Welche grunds„tzliche Vorsichtsregel gilt fr die Antibiotikatherapie bei Fieber in der Granulozytopenie (Neutropenie)?;Keine Angabe;Keine Angabe;Fieber bei Neutropenie ist ein Notfall ? sofortige empirische breite (z. B. Pseudomonas-wirksame) antibiotische Therapie nach Abnahme von Blutkulturen.;Keine Angabe;C;Fieber bei Neutropenie ist ein Notfall ? sofortige empirische breite (z. B. Pseudomonas-wirksame) antibiotische Therapie nach Abnahme von Blutkulturen.;mittel
149;Infektiologie;Welches Virus verursacht das Exanthema subitum (Dreitagefieber)?;Humanes Herpesvirus 6 (HHV-6).;Keine Angabe;Keine Angabe;Keine Angabe;A;Humanes Herpesvirus 6 (HHV-6).;mittel
150;Infektiologie;Welcher Erreger verursacht Ringelr”teln (Erythema infectiosum) und welche Komplikation droht bei Schwangeren/An„miepatienten?;Keine Angabe;Keine Angabe;"Parvovirus B19; Komplikationen sind aplastische Krise (bei h„molytischer An„mie) und Hydrops fetalis in der Schwangerschaft.";Keine Angabe;C;"Parvovirus B19; Komplikationen sind aplastische Krise (bei h„molytischer An„mie) und Hydrops fetalis in der Schwangerschaft.";schwer
151;Allergologie;Wie unterscheiden sich die Begriffe Sensibilisierung und Allergie?;Keine Angabe;Keine Angabe;"Sensibilisierung ist der Nachweis von spezifischem IgE (im Bluttest oder Pricktest) ohne zwingende Symptome; eine Allergie ist die klinisch manifeste, meist IgE-vermittelte Unvertr„glichkeitsreaktion.";Keine Angabe;C;"Sensibilisierung ist der Nachweis von spezifischem IgE (im Bluttest oder Pricktest) ohne zwingende Symptome; eine Allergie ist die klinisch manifeste, meist IgE-vermittelte Unvertr„glichkeitsreaktion.";mittel
152;Allergologie;Was beschreibt der ?atopische Marsch??;Keine Angabe;Keine Angabe;Keine Angabe;Die typische zeitliche Abfolge atopischer Erkrankungen ? oft beginnend mit atopischem Ekzem und Nahrungsmittelallergie im S„uglingsalter, sp„ter allergische Rhinitis und Asthma bronchiale.;D;Die typische zeitliche Abfolge atopischer Erkrankungen ? oft beginnend mit atopischem Ekzem und Nahrungsmittelallergie im S„uglingsalter, sp„ter allergische Rhinitis und Asthma bronchiale.;mittel
153;Allergologie;Was ist die Anaphylaxie?;Keine Angabe;Eine akute, potenziell lebensbedrohliche, meist IgE-vermittelte systemische allergische Reaktion mit Beteiligung mehrerer Organsysteme (Haut, Atemwege, Kreislauf, GIT).;Keine Angabe;Keine Angabe;B;Eine akute, potenziell lebensbedrohliche, meist IgE-vermittelte systemische allergische Reaktion mit Beteiligung mehrerer Organsysteme (Haut, Atemwege, Kreislauf, GIT).;mittel
154;Allergologie;Welches Medikament ist das Mittel der ersten Wahl bei der Anaphylaxie und wie wird es appliziert?;Adrenalin (Epinephrin) intramuskul„r in den lateralen Oberschenkel.;Keine Angabe;Keine Angabe;Keine Angabe;A;Adrenalin (Epinephrin) intramuskul„r in den lateralen Oberschenkel.;leicht
155;Allergologie;Welche Medikamente werden bei der Anaphylaxie zus„tzlich (als Zweitlinie) eingesetzt?;Antihistaminika und Glukokortikoide sowie Sauerstoff/Volumen und bei Bronchospasmus inhalative Beta-2-Sympathomimetika.;Keine Angabe;Keine Angabe;Keine Angabe;A;Antihistaminika und Glukokortikoide sowie Sauerstoff/Volumen und bei Bronchospasmus inhalative Beta-2-Sympathomimetika.;mittel
156;Allergologie;Welche Selbsthilfemaánahme/Notfallausrstung sollte Patienten mit schwerer Anaphylaxiegefahr verordnet werden?;Keine Angabe;Keine Angabe;Keine Angabe;Ein Adrenalin-Autoinjektor (?Pen?) als Notfallset, inklusive Schulung.;D;Ein Adrenalin-Autoinjektor (?Pen?) als Notfallset, inklusive Schulung.;mittel
157;Allergologie;Welche Nahrungsmittel z„hlen im Kindesalter zu den h„ufigsten Ausl”sern einer Nahrungsmittelallergie?;Keine Angabe;Keine Angabe;Keine Angabe;Kuhmilch, Hhnerei, Erdnuss, Baumnsse, Soja, Weizen und Fisch.;D;Kuhmilch, Hhnerei, Erdnuss, Baumnsse, Soja, Weizen und Fisch.;mittel
158;Allergologie;Welches Diagnostikverfahren weist eine IgE-Sensibilisierung an der Haut nach?;Keine Angabe;Keine Angabe;Der Haut-Pricktest.;Keine Angabe;C;Der Haut-Pricktest.;leicht
159;Allergologie;Welche Erkrankung ist gemeint, wenn Heuschnupfen mit Niesen, Rhinorrh” und juckenden Augen saisonal auftritt?;Keine Angabe;Keine Angabe;Die allergische Rhinitis bzw. Rhinokonjunktivitis (z. B. Pollinosis).;Keine Angabe;C;Die allergische Rhinitis bzw. Rhinokonjunktivitis (z. B. Pollinosis).;leicht
160;Allergologie;Welche kausale (krankheitsmodifizierende) Therapie steht bei IgE-vermittelten Allergien (z. B. Insektengift, Pollen) zur Verfgung?;Keine Angabe;Keine Angabe;Keine Angabe;Die spezifische Immuntherapie (Hyposensibilisierung/Allergen-Immuntherapie).;D;Die spezifische Immuntherapie (Hyposensibilisierung/Allergen-Immuntherapie).;mittel
161;Allergologie;Welche allergische Erkrankung ist nach einem Insektenstich (Biene/Wespe) besonders gef„hrlich und wie wird langfristig vorgebeugt?;Keine Angabe;Keine Angabe;"Die Insektengiftallergie mit Anaphylaxiegefahr; langfristig durch spezifische Immuntherapie (Hyposensibilisierung) und Notfallset.";Keine Angabe;C;"Die Insektengiftallergie mit Anaphylaxiegefahr; langfristig durch spezifische Immuntherapie (Hyposensibilisierung) und Notfallset.";mittel
162;Pneumologie;Welches Krankheitsbild ist gemeint, wenn ein Kleinkind pl”tzlich aus voller Gesundheit Husten und einseitig abgeschw„chtes Atemger„usch entwickelt?;Keine Angabe;Keine Angabe;Keine Angabe;Eine Fremdk”rperaspiration.;D;Eine Fremdk”rperaspiration.;leicht
163;Pneumologie;Warum schlieát ein unauff„lliges R”ntgenbild eine Fremdk”rperaspiration nicht aus?;Keine Angabe;"Weil viele Fremdk”rper nicht r”ntgendicht sind; ggf. zeigt erst die Exspirationsaufnahme indirekte Zeichen (Ventilmechanismus/šberbl„hung).";Keine Angabe;Keine Angabe;B;"Weil viele Fremdk”rper nicht r”ntgendicht sind; ggf. zeigt erst die Exspirationsaufnahme indirekte Zeichen (Ventilmechanismus/šberbl„hung).";mittel
164;Pneumologie;Was ist der h„ufigste Ausl”ser des Krupp-Syndroms (Pseudokrupp) und wie klingt der typische Husten?;"Meist viral (Parainfluenza); typisch sind bellender Husten, Heiserkeit und inspiratorischer Stridor.";Keine Angabe;Keine Angabe;Keine Angabe;A;"Meist viral (Parainfluenza); typisch sind bellender Husten, Heiserkeit und inspiratorischer Stridor.";leicht
165;Pneumologie;Wie wird ein mittelschwerer/schwerer Pseudokrupp behandelt?;Keine Angabe;Mit Glukokortikoiden (oral, rektal oder inhalativ) und bei schwerer Atemnot zus„tzlich inhalativem Adrenalin.;Keine Angabe;Keine Angabe;B;Mit Glukokortikoiden (oral, rektal oder inhalativ) und bei schwerer Atemnot zus„tzlich inhalativem Adrenalin.;mittel
166;Pneumologie;Wie unterscheidet sich die Epiglottitis klinisch vom Pseudokrupp?;Die Epiglottitis verl„uft akut hochfieberhaft mit Speichelfluss, Schluckschmerzen, kloáiger Sprache und sitzender Haltung ohne bellenden Husten ? ein Notfall.;Keine Angabe;Keine Angabe;Keine Angabe;A;Die Epiglottitis verl„uft akut hochfieberhaft mit Speichelfluss, Schluckschmerzen, kloáiger Sprache und sitzender Haltung ohne bellenden Husten ? ein Notfall.;mittel
167;Pneumologie;Welcher Erreger verursacht klassischerweise die Epiglottitis und wodurch ist sie selten geworden?;"Haemophilus influenzae Typ b; durch die Hib-Impfung selten geworden.";Keine Angabe;Keine Angabe;Keine Angabe;A;"Haemophilus influenzae Typ b; durch die Hib-Impfung selten geworden.";mittel
168;Pneumologie;Was ist bei Verdacht auf Epiglottitis strikt zu vermeiden?;Keine Angabe;Das Kind nicht aufregen/hinlegen und keine Racheninspektion mit dem Spatel ? Gefahr des kompletten Atemwegsverschlusses.;Keine Angabe;Keine Angabe;B;Das Kind nicht aufregen/hinlegen und keine Racheninspektion mit dem Spatel ? Gefahr des kompletten Atemwegsverschlusses.;schwer
169;Pneumologie;Welche pathophysiologischen Komponenten kennzeichnen das Asthma bronchiale?;Chronische eosinophile Entzndung der Atemwege mit bronchialer Hyperreagibilit„t und (reversibler) Bronchialobstruktion.;Keine Angabe;Keine Angabe;Keine Angabe;A;Chronische eosinophile Entzndung der Atemwege mit bronchialer Hyperreagibilit„t und (reversibler) Bronchialobstruktion.;mittel
170;Pneumologie;Welches Medikament ist die Akut-/Bedarfstherapie beim Asthmaanfall?;Keine Angabe;Keine Angabe;Kurzwirksame inhalative Beta-2-Sympathomimetika (SABA, z. B. Salbutamol).;Keine Angabe;C;Kurzwirksame inhalative Beta-2-Sympathomimetika (SABA, z. B. Salbutamol).;leicht
171;Pneumologie;Welche Substanzklasse bildet die Basis der antiinflammatorischen Asthma-Dauertherapie?;Keine Angabe;Keine Angabe;Keine Angabe;Inhalative Glukokortikoide (ICS).;D;Inhalative Glukokortikoide (ICS).;mittel
172;Pneumologie;Welches Gen ist bei der zystischen Fibrose (Mukoviszidose) defekt und auf welchem Chromosom liegt es?;Keine Angabe;Keine Angabe;Das CFTR-Gen auf Chromosom 7.;Keine Angabe;C;Das CFTR-Gen auf Chromosom 7.;mittel
173;Pneumologie;Welcher Test sichert die Diagnose der zystischen Fibrose und welcher Chloridwert gilt als pathologisch?;Keine Angabe;Keine Angabe;Keine Angabe;"Der Schweiátest; zwei positive Tests mit Chloridkonzentration ? 60 mmol/l gelten als pathologisch (30?60 mmol/l = Graubereich).";D;"Der Schweiátest; zwei positive Tests mit Chloridkonzentration ? 60 mmol/l gelten als pathologisch (30?60 mmol/l = Graubereich).";schwer
174;Pneumologie;Welche frhe (oft neonatale) Manifestation der zystischen Fibrose betrifft den Darm?;Keine Angabe;Keine Angabe;Keine Angabe;Der Mekoniumileus.;D;Der Mekoniumileus.;mittel
175;Pneumologie;Welche typische Begleitst”rung der zystischen Fibrose betrifft die Verdauung?;Keine Angabe;Keine Angabe;Die exokrine Pankreasinsuffizienz mit Maldigestion (Therapie mit Pankreasenzymen).;Keine Angabe;C;Die exokrine Pankreasinsuffizienz mit Maldigestion (Therapie mit Pankreasenzymen).;mittel
176;Pneumologie;Welche neuartige medikament”se Therapie zielt direkt auf den Defekt der zystischen Fibrose?;Keine Angabe;CFTR-modulierende Therapien (Korrektoren/Potentiatoren, z. B. Kombinationen), abh„ngig von der Mutation.;Keine Angabe;Keine Angabe;B;CFTR-modulierende Therapien (Korrektoren/Potentiatoren, z. B. Kombinationen), abh„ngig von der Mutation.;schwer
177;Pneumologie;Welche Erreger sind im Kindesalter h„ufige Ursachen einer ambulant erworbenen Pneumonie?;Keine Angabe;Keine Angabe;"Bei jngeren Kindern v. a. Viren und Pneumokokken; bei „lteren Kindern auch Mycoplasma pneumoniae.";Keine Angabe;C;"Bei jngeren Kindern v. a. Viren und Pneumokokken; bei „lteren Kindern auch Mycoplasma pneumoniae.";mittel
178;Pneumologie;Welches Antibiotikum ist Mittel der Wahl bei der unkomplizierten ambulant erworbenen bakteriellen Pneumonie im Kindesalter?;Keine Angabe;Keine Angabe;Aminopenicillin (Amoxicillin), ggf. mit Betalaktamasehemmer.;Keine Angabe;C;Aminopenicillin (Amoxicillin), ggf. mit Betalaktamasehemmer.;mittel
179;Pneumologie;Wie unterscheidet man laborchemisch ein Transsudat von einem Exsudat beim Pleuraerguss (Grundprinzip)?;Keine Angabe;Keine Angabe;"Transsudat (z. B. bei Herzinsuffizienz) ist eiweiá-/LDH-arm durch erh”hten hydrostatischen Druck; Exsudat (z. B. bei bakterieller Pneumonie/Pleuritis) ist eiweiá-/LDH-reich durch erh”hte Gef„ápermeabilit„t.";Keine Angabe;C;"Transsudat (z. B. bei Herzinsuffizienz) ist eiweiá-/LDH-arm durch erh”hten hydrostatischen Druck; Exsudat (z. B. bei bakterieller Pneumonie/Pleuritis) ist eiweiá-/LDH-reich durch erh”hte Gef„ápermeabilit„t.";schwer
180;Kardiologie;Welcher angeborene Herzfehler ist der h„ufigste?;Der Ventrikelseptumdefekt (VSD), etwa 50 % der angeborenen Herzfehler.;Keine Angabe;Keine Angabe;Keine Angabe;A;Der Ventrikelseptumdefekt (VSD), etwa 50 % der angeborenen Herzfehler.;leicht
181;Kardiologie;Wie teilt man angeborene Herzfehler grob nach der Klinik ein?;Keine Angabe;Keine Angabe;Keine Angabe;In azyanotische (meist Links-Rechts-Shunt) und zyanotische (Rechts-Links-Shunt) Herzfehler.;D;In azyanotische (meist Links-Rechts-Shunt) und zyanotische (Rechts-Links-Shunt) Herzfehler.;mittel
182;Kardiologie;Welche Shuntrichtung liegt einem unkomplizierten VSD zun„chst zugrunde und welche Sp„tkomplikation droht bei groáem Shunt?;Keine Angabe;Keine Angabe;Keine Angabe;"Links-Rechts-Shunt; bei pulmonaler Druckerh”hung droht die Shuntumkehr (Eisenmenger-Syndrom) mit dann zyanotischem Herzfehler.";D;"Links-Rechts-Shunt; bei pulmonaler Druckerh”hung droht die Shuntumkehr (Eisenmenger-Syndrom) mit dann zyanotischem Herzfehler.";schwer
183;Kardiologie;Welche vier Komponenten umfasst die Fallot-Tetralogie?;Keine Angabe;Keine Angabe;Groáer VSD, ber dem VSD ?reitende? Aorta, Pulmonalstenose (rechtsventrikul„re Ausflussbahnobstruktion) und rechtsventrikul„re Hypertrophie.;Keine Angabe;C;Groáer VSD, ber dem VSD ?reitende? Aorta, Pulmonalstenose (rechtsventrikul„re Ausflussbahnobstruktion) und rechtsventrikul„re Hypertrophie.;schwer
184;Kardiologie;Was ist ein ?hypox„mischer Anfall? (Tet-Spell) bei der Fallot-Tetralogie?;"Eine akute Zunahme des Rechts-Links-Shunts mit pl”tzlicher tiefer Zyanose; Kinder gehen typischerweise in die Hocke (Hockstellung erh”ht den Systemwiderstand).";Keine Angabe;Keine Angabe;Keine Angabe;A;"Eine akute Zunahme des Rechts-Links-Shunts mit pl”tzlicher tiefer Zyanose; Kinder gehen typischerweise in die Hocke (Hockstellung erh”ht den Systemwiderstand).";schwer
185;Kardiologie;Welche Sofortmaánahme verbessert beim ductusabh„ngigen zyanotischen Herzfehler des Neugeborenen die Oxygenierung?;Offenhalten des Ductus arteriosus mit Prostaglandin E (PGE1-Infusion).;Keine Angabe;Keine Angabe;Keine Angabe;A;Offenhalten des Ductus arteriosus mit Prostaglandin E (PGE1-Infusion).;schwer
186;Kardiologie;Welcher zyanotische Herzfehler ist dadurch gekennzeichnet, dass Aorta und Pulmonalarterie vertauscht entspringen?;Keine Angabe;Keine Angabe;Die Transposition der groáen Arterien (d-TGA).;Keine Angabe;C;Die Transposition der groáen Arterien (d-TGA).;mittel
187;Kardiologie;Welcher azyanotische Herzfehler verursacht ein kontinuierliches (Maschinen-)Ger„usch und ist beim Frhgeborenen relevant?;Keine Angabe;Keine Angabe;Der persistierende Ductus arteriosus (PDA).;Keine Angabe;C;Der persistierende Ductus arteriosus (PDA).;mittel
188;Kardiologie;Welche Fehlbildung verursacht abgeschw„chte/fehlende Leistenpulse und eine Blutdruckdifferenz zwischen Armen und Beinen?;Die Aortenisthmusstenose (Coarctatio aortae).;Keine Angabe;Keine Angabe;Keine Angabe;A;Die Aortenisthmusstenose (Coarctatio aortae).;mittel
189;Kardiologie;Welcher Vorhofseptumdefekt-Typ ist am h„ufigsten und welches Auskultationszeichen ist typisch?;Keine Angabe;"Der ASD II (Ostium-secundum-Defekt); typisch ist eine fixierte (atemunabh„ngige) Spaltung des 2. Herztons.";Keine Angabe;Keine Angabe;B;"Der ASD II (Ostium-secundum-Defekt); typisch ist eine fixierte (atemunabh„ngige) Spaltung des 2. Herztons.";schwer
190;Kardiologie;Welche Erkrankung kann ein S„ugling mit Herzinsuffizienzzeichen wie Trinkschw„che, Schwitzen beim Trinken und Tachydyspnoe haben?;Keine Angabe;Einen relevanten angeborenen Herzfehler mit Herzinsuffizienz (z. B. groáer Links-Rechts-Shunt).;Keine Angabe;Keine Angabe;B;Einen relevanten angeborenen Herzfehler mit Herzinsuffizienz (z. B. groáer Links-Rechts-Shunt).;mittel
191;Kardiologie;Welche Infektion der Herzinnenhaut wird bei Risikopatienten durch eine Endokarditisprophylaxe verhindert?;Keine Angabe;Keine Angabe;Die infekti”se (bakterielle) Endokarditis.;Keine Angabe;C;Die infekti”se (bakterielle) Endokarditis.;mittel
192;Kardiologie;Vor welchen Eingriffen wird Hochrisikopatienten eine Endokarditisprophylaxe empfohlen?;Vor bestimmten zahn„rztlichen Eingriffen mit Manipulation der Gingiva/Schleimhaut (bei definierten kardialen Hochrisikokonstellationen).;Keine Angabe;Keine Angabe;Keine Angabe;A;Vor bestimmten zahn„rztlichen Eingriffen mit Manipulation der Gingiva/Schleimhaut (bei definierten kardialen Hochrisikokonstellationen).;schwer
193;Kardiologie;Welche entzndliche Herzerkrankung kann nach viralen Infekten mit Herzinsuffizienz, Tachykardie und Troponinanstieg auftreten?;Keine Angabe;Keine Angabe;Keine Angabe;Die Myokarditis.;D;Die Myokarditis.;mittel
194;Kardiologie;Welche Rhythmusst”rung ist die h„ufigste symptomatische supraventrikul„re Tachykardie im S„uglings-/Kindesalter und wie wird sie akut terminiert?;Keine Angabe;Keine Angabe;"Die AV-Knoten-Reentry-/AV-Reentry-Tachykardie; akut durch Vagusman”ver und ggf. Adenosin i.v.";Keine Angabe;C;"Die AV-Knoten-Reentry-/AV-Reentry-Tachykardie; akut durch Vagusman”ver und ggf. Adenosin i.v.";schwer
195;Kardiologie;Welches Screening dient der frhen Erkennung kritischer zyanotischer Herzfehler beim Neugeborenen?;Keine Angabe;Keine Angabe;Das Pulsoxymetrie-Screening (Messung der Sauerstoffs„ttigung).;Keine Angabe;C;Das Pulsoxymetrie-Screening (Messung der Sauerstoffs„ttigung).;mittel
196;Kardiologie;Welcher angeborene Herzfehler tritt beim Down-Syndrom besonders h„ufig auf?;Der atrioventrikul„re Septumdefekt (AVSD).;Keine Angabe;Keine Angabe;Keine Angabe;A;Der atrioventrikul„re Septumdefekt (AVSD).;mittel
197;Gastroenterologie/Hepatologie;Welche Erkrankung ist eine immunvermittelte Unvertr„glichkeit gegen Gluten mit Dnndarmsch„digung?;Keine Angabe;Die Z”liakie (glutensensitive Enteropathie).;Keine Angabe;Keine Angabe;B;Die Z”liakie (glutensensitive Enteropathie).;leicht
198;Gastroenterologie/Hepatologie;Welche Antik”rper sind der wichtigste serologische Marker der Z”liakie?;Keine Angabe;Keine Angabe;Keine Angabe;Transglutaminase-2-IgA-Antik”rper (bei IgA-Mangel die IgG-Variante), erg„nzt durch Endomysium-Antik”rper.;D;Transglutaminase-2-IgA-Antik”rper (bei IgA-Mangel die IgG-Variante), erg„nzt durch Endomysium-Antik”rper.;mittel
199;Gastroenterologie/Hepatologie;Welcher Befund sichert die Z”liakie histologisch und nach welcher Klassifikation wird er beurteilt?;Die Zottenatrophie der Dnndarmschleimhaut (Duodenalbiopsie), beurteilt nach der Marsh-Klassifikation.;Keine Angabe;Keine Angabe;Keine Angabe;A;Die Zottenatrophie der Dnndarmschleimhaut (Duodenalbiopsie), beurteilt nach der Marsh-Klassifikation.;mittel
200;Gastroenterologie/Hepatologie;Worin besteht die einzige kausale Therapie der Z”liakie?;Keine Angabe;Keine Angabe;Eine lebenslange streng glutenfreie Ern„hrung.;Keine Angabe;C;Eine lebenslange streng glutenfreie Ern„hrung.;leicht
201;Gastroenterologie/Hepatologie;Welche Erkrankung verursacht beim S„ugling (ca. 3.?6. Lebenswoche) nicht-galliges schwallartiges Erbrechen?;Die hypertrophe Pylorusstenose.;Keine Angabe;Keine Angabe;Keine Angabe;A;Die hypertrophe Pylorusstenose.;mittel
202;Gastroenterologie/Hepatologie;Welche Elektrolyt-/S„ure-Basen-St”rung ist typisch fr die Pylorusstenose?;Keine Angabe;Eine hypochlor„mische, hypokali„mische metabolische Alkalose.;Keine Angabe;Keine Angabe;B;Eine hypochlor„mische, hypokali„mische metabolische Alkalose.;schwer
203;Gastroenterologie/Hepatologie;Welche Erkrankung verursacht beim S„ugling kolikartige Bauchschmerzen mit schmerzfreien Intervallen und ggf. ?himbeergeleeartigen? Sthlen?;Keine Angabe;Keine Angabe;Die Invagination (Darmeinstlpung).;Keine Angabe;C;Die Invagination (Darmeinstlpung).;mittel
204;Gastroenterologie/Hepatologie;Wie wird eine unkomplizierte Invagination h„ufig behandelt?;Durch hydrostatische oder pneumatische Reposition (Sonografie-/R”ntgen-gesteuert), bei Versagen operativ.;Keine Angabe;Keine Angabe;Keine Angabe;A;Durch hydrostatische oder pneumatische Reposition (Sonografie-/R”ntgen-gesteuert), bei Versagen operativ.;mittel
205;Gastroenterologie/Hepatologie;Welche angeborene Erkrankung beruht auf dem Fehlen von Ganglienzellen im distalen Darm und fhrt zu schwerer Obstipation/Ileus?;Keine Angabe;Keine Angabe;Keine Angabe;Der Morbus Hirschsprung (Aganglionose).;D;Der Morbus Hirschsprung (Aganglionose).;mittel
206;Gastroenterologie/Hepatologie;Welcher Erreger ist weltweit die h„ufigste Ursache einer akuten Gastroenteritis mit Durchfall im Kleinkindalter?;Keine Angabe;Keine Angabe;Keine Angabe;Das Rotavirus.;D;Das Rotavirus.;leicht
207;Gastroenterologie/Hepatologie;Worin besteht die wichtigste Therapie der akuten Gastroenteritis im Kindesalter?;Keine Angabe;Keine Angabe;Keine Angabe;Die orale Rehydratation (mit oraler Rehydratationsl”sung), ggf. intraven”se Rehydratation bei schwerer Dehydratation.;D;Die orale Rehydratation (mit oraler Rehydratationsl”sung), ggf. intraven”se Rehydratation bei schwerer Dehydratation.;leicht
208;Gastroenterologie/Hepatologie;Wie unterscheiden sich Morbus Crohn und Colitis ulcerosa in der Ausbreitung?;Keine Angabe;"Morbus Crohn: diskontinuierlicher, segmentaler Befall des gesamten GI-Trakts (transmural); Colitis ulcerosa: kontinuierlicher Befall, auf das Kolon beschr„nkt (mukosal), vom Rektum aufsteigend.";Keine Angabe;Keine Angabe;B;"Morbus Crohn: diskontinuierlicher, segmentaler Befall des gesamten GI-Trakts (transmural); Colitis ulcerosa: kontinuierlicher Befall, auf das Kolon beschr„nkt (mukosal), vom Rektum aufsteigend.";schwer
209;Gastroenterologie/Hepatologie;Welche typische Komplikation/Manifestation ist eher mit Morbus Crohn assoziiert?;Keine Angabe;Keine Angabe;Fisteln, Stenosen, perianale L„sionen und Befall des terminalen Ileums.;Keine Angabe;C;Fisteln, Stenosen, perianale L„sionen und Befall des terminalen Ileums.;mittel
210;Gastroenterologie/Hepatologie;Welche h„ufige akute chirurgische Ursache von Bauchschmerzen zeigt Schmerzwanderung in den rechten Unterbauch (McBurney) mit Loslassschmerz?;Keine Angabe;Keine Angabe;Keine Angabe;Die Appendizitis.;D;Die Appendizitis.;leicht
211;Gastroenterologie/Hepatologie;Was ist die h„ufigste Ursache einer konjugierten (direkten) Hyperbilirubin„mie/Cholestase beim jungen S„ugling, die rasch erkannt werden muss?;Die Gallengangsatresie (Gallengangatresie).;Keine Angabe;Keine Angabe;Keine Angabe;A;Die Gallengangsatresie (Gallengangatresie).;schwer
